"Observation
Year","Standard
Week","Pest
Value",MaxT(°C),MinT(°C),RH1(%),RH2(%),RF(mm),WS(kmph),SSH(hrs),EVP(mm)
2002,1,2,26.9,16.6,88.3,61.3,20.1,2.9,7.5,3
2002,2,23,27.5,17.4,86.6,66.9,0,3,3.7,2.8
2002,3,65,28.9,17.2,92.1,67.1,0,4.2,4.7,2.3
2002,4,20,29.9,20.4,96,67.3,0,4.1,4.1,2.3
2002,5,33,28.9,18.7,90,70,0,3,1.5,2.8
2002,6,84,28.7,17.5,88.1,65.7,0,3.6,2.9,2.9
2002,7,42,30.5,19,92,66.4,0,5.1,4.5,2.7
2002,8,12,32.1,17,91.4,54.3,0,6.4,6.8,3
2002,9,19,32,18,92.4,63.3,0,5.6,6.5,2.6
2002,10,30,31,20.1,91.4,66.3,0,6,8.3,3
2002,11,19,31.8,20.1,87.1,58,0,5.9,7.5,3.4
2002,12,15,31.9,19.4,91.7,66,0,5.4,7.4,3.3
2002,13,5,32.4,21.6,85.6,62.7,0,6.7,9.5,3.9
2002,14,0,32.9,21.7,87.3,60.7,0,5.6,9.6,4.3
2002,15,3,32.9,21.7,86.4,60.7,0,5.9,10.3,4.3
2002,16,0,33.6,22.7,86.9,55.7,0,5.1,10.4,5.1
2002,17,0,34.1,23.2,86,60.4,0,5.3,10.3,5.2
2002,18,0,34.7,24,85,58,0,4.2,9.3,5.5
2002,19,0,39.1,27.4,82.1,49.4,5.3,3,9.7,6.7
2002,20,0,38.1,26.5,71.9,44,7.5,2.9,6.7,8.1
2002,21,0,37.1,26.4,82.6,50.4,0.8,2.1,7.5,6.5
2002,22,0,36.2,24.7,85.1,57.9,13.6,1.6,8.5,5.2
2002,23,0,35.1,24.7,87.3,67,32.4,2,5.1,4.8
2002,24,0,34.6,25.5,79.6,66.7,2.6,1.6,4.1,4.8
2002,25,0,31.7,24.7,78.6,64.9,6.8,1.8,0.8,4.2
2002,26,0,34.1,25.1,79.7,56.9,6.2,2,9,5.9
2002,27,0,35.1,27.1,72.4,50.4,1.2,1.7,7.6,7.9
2002,28,0,35.2,26.9,71.4,50.4,8,2.3,5.9,7.6
2002,29,0,31.6,25.2,82,67,0,1.7,3.3,5
2002,30,0,32.7,25.1,84.4,65.4,29,1.7,6.9,5.3
2002,31,0,31.2,24.3,91.3,75.9,63.6,2.1,4,3.8
2002,32,0,27.7,23.2,89.6,81.9,51,1.8,2.6,2.6
2002,33,1,29.5,24.6,88.3,69.6,17.6,1.9,6.8,3.9
2002,34,3,29.3,24.3,89,75.3,1,2.1,5.7,3.9
2002,35,7,30.6,24.3,90.9,80,0,2.5,4.3,3.7
2002,36,46,29.9,24.7,90.6,75.1,0,5.6,4,3.7
2002,37,22,30.2,24.5,89.4,74,1,5.3,3.8,3.5
2002,38,16,32.8,24.4,88.1,70.3,7.2,3.7,6.8,3.3
2002,39,21,33,24.9,86.7,69.9,0,3.7,7.6,3.8
2002,40,28,33,24,84.3,76.4,13.6,1.9,8.6,3.9
2002,41,27,30.2,23.2,94,84.7,46.6,2.9,4.1,2.3
2002,42,18,30.1,23.1,92.4,76.3,54,2.4,5.6,2.1
2002,43,11,26.4,22.1,91.4,85,15.2,3.8,1.1,1.9
2002,44,22,28.9,20.8,93.7,68.4,61.4,2.2,4.2,2.7
2002,45,19,27.9,21.3,90.9,72.9,7.9,4.6,2.2,2.4
2002,46,16,29.9,20.2,90.9,57.1,0,2.8,8.2,2.8
2002,47,5,28.7,16.7,90.7,50.4,0,2.6,6.2,2.7
2002,48,14,30.6,16.9,95.6,49.3,0,2.1,9.1,2.6
2002,49,3,29,17.7,86.1,52.6,0,4.2,7.1,3.1
2002,50,4,29.1,18,95.6,54.9,0,3,3.8,2.3
2002,51,3,30.1,17.4,96.1,55.9,0,1.8,8.5,2.2
2002,52,2,29,18.8,95,59.8,0,2.7,5.9,2.2
2004,1,0,25.4,18.4,94.6,82.3,0,5.1,7.1,2.5
2004,2,0,26.3,17.7,92.7,86.7,0,3.7,9.2,2.9
2004,3,0,26.5,21.6,90,87,0,2.4,8.8,2.3
2004,4,0,26.4,19.4,90.9,86.1,0,5,6.5,2.5
2004,5,0,27.4,21.1,94.9,87.3,0,2.1,7.1,2.2
2004,6,0,27.4,19.3,90.7,77.4,0,1.6,8.9,2.5
2004,7,0,27.7,17.8,93.1,63.1,0,1.5,9.8,2.7
2004,8,0,30.1,19.8,94.7,63.4,0,2.5,9.5,2.8
2004,9,0,29.4,19.9,94.5,64.3,0,2.2,9.4,3.2
2004,10,0,29.6,20.4,91.4,66.3,0,2.5,8.5,3.1
2004,11,0,32.1,20.5,93.7,56.7,0,1.9,8.8,3.4
2004,12,0,31,22.1,94.4,67.6,0,3.1,8.2,3.6
2004,13,0,31.5,23.1,90.9,65.7,0,2.9,9.2,3.8
2004,14,0,32.1,24.2,92.7,70,0,3.6,6.6,3.6
2004,15,0,32.3,24.1,87.4,64,0,4.7,9.2,4.6
2004,16,1,32.9,24.8,89.9,72.6,0,4.8,9.7,5
2004,17,0,32.2,23.7,89.1,72.6,34.2,4.7,9,4.5
2004,18,0,31.6,24.4,89.6,84.3,57.2,4.6,5.5,4.4
