"Observation
Year","Standard
Week","Pest
Value",MaxT(°C),MinT(°C),RH1(%),RH2(%),RF(mm),WS(kmph),SSH(hrs),EVP(mm)
1995,1,2,29.9,17.1,92.6,69,0,2.9,4.8,19.1
1995,2,43,26.3,19.6,94,69,8.2,3,3.3,19.9
1995,3,43,25.4,17.1,90.7,68,10.2,4.2,6.4,18.4
1995,4,62,27.5,17,93.7,70,0,4.1,7.4,17.1
1995,5,58,27.3,16.5,90.6,68,0,3,6.8,20
1995,6,49,27.6,17.6,89.6,67,0,3.6,8.7,20.6
1995,7,144,29.9,18,93.8,64,0,5.1,8.7,21.1
1995,8,395,30.2,19.8,93.1,62,0,6.4,9,22.2
1995,9,249,30.3,19.1,92.7,62,0,5.6,9.3,24.4
1995,10,432,31.6,20.2,94.9,64,0,6,8.5,22.9
1995,11,1819,31.6,20.5,89.5,62,0,5.9,9.2,23.8
1995,12,3330,34.1,20.8,87.7,65,0,5.4,8.6,25.7
1995,13,2604,33.4,20.5,88.9,60,0,6.7,8.6,28.4
1995,14,21820,33.1,20.1,87.2,58,0,5.6,8.5,30.7
1995,15,4230,33.2,20.9,87.1,55,0,5.9,9.7,32.8
1995,16,12210,34.6,21.5,86.5,56,0,5.1,9.4,34.1
1995,17,7540,35,22.5,83.9,58,0,5.3,8.7,35.2
1995,18,830,35.4,22.7,85.5,60,0,4.2,9.6,33.2
1995,19,72,34.8,23.4,88.4,55,16,3,9.9,33.3
1995,20,0,28.4,22.9,9.3,54,332,2.9,0.7,39.8
1995,21,144,34.3,25.6,85.9,59,0,2.1,7.7,46.4
1995,22,497,35.3,25.2,96.9,55,0,1.6,7.5,41.7
1995,23,10,36.2,27.1,88,57,0,2,2.9,42.3
1995,24,0,38,26.9,81,63,0,1.6,5.1,33.7
1995,25,168,33.6,24.7,88.7,67,24,1.8,4.6,37
1995,26,95,31.2,24.6,88,69,48,2,2,38.8
1995,27,963,34.1,26.1,86.3,72,5,1.7,5.6,35.3
1995,28,55,31.1,23.3,89.6,72,54,2.3,3.2,29.5
1995,29,30,28.6,22.1,92.9,73,155,1.7,0,27.5
1995,30,0,30.8,23.7,92,78,53,1.7,5,28.6
1995,31,1341,32.6,24.9,88.7,76,40,2.1,4.5,28
1995,32,9206,31.5,24.5,91.2,76,39,1.8,4,24.1
1995,33,629,32.8,24,88.1,73,37,1.9,6.6,28.2
1995,34,7014,30.1,23.8,92.3,78,68,2.1,2.8,23
1995,35,13005,30.5,24.2,89.2,76,56,2.5,2.7,24.9
1995,36,21658,30.2,24.1,88.9,75,17,3,6.5,25.6
1995,37,9395,31.2,23.8,90.6,75,33,2.9,5.4,24.7
1995,38,19440,30.3,22.9,93.3,76,100,2.1,4.2,23.9
1995,39,10380,31.4,23.8,91.3,75,14,1.6,3.2,23.2
1995,40,10506,31.2,23.1,92.6,76,51,2,3.5,21.1
1995,41,19912,28.6,22.3,92.6,72,227,1.6,2.6,18.8
1995,42,7650,39.1,22.2,90.9,74,93,1.8,4.5,19.5
1995,43,7420,30.6,20.7,89.9,74,5,2,6.9,20
1995,44,10698,30.4,20.5,88.7,76,4.6,1.7,6.8,16.7
1995,45,6529,31.1,20.7,90.7,70,4,2.3,7.7,17.3
1995,46,152,31.3,20.4,91.5,64,1,1.7,6.9,20.4
1995,47,69,29.9,20.3,87.4,64,0,1.7,4.3,20.8
1995,48,20,29.8,19.1,89.4,65,0,2.1,6.6,19.7
1995,49,0,29.5,18.7,92,67,0,1.8,5.4,19.7
1995,50,10,27.8,17.2,91.6,65,0,1.9,5.9,18.3
1995,51,5,28.6,18.4,92,67,0,2.1,6.1,17.3
1995,52,0,27.6,18.4,89.7,70,0,2.5,5.4,20.7
1996,1,16,27.6,18.3,89.4,69,0,2.6,7.5,19.1
1996,2,0,28.7,18.8,92.5,69,1.2,2.6,7.4,19.9
1996,3,19,29.7,19,92,68,0,1.9,9.1,18.4
1996,4,60,29.1,18.4,92,70,0,2,8.1,17.1
1996,5,48,28.6,18.1,91.5,68,0,1.8,8.2,20
1996,6,59,29.5,18.1,91.7,67,0,1.7,8.7,20.6
1996,7,35,28.4,18.4,91.3,64,0.4,1.6,8.5,21.1
1996,8,42,30.4,18.4,91.9,62,0,1.6,8.8,22.2
1996,9,80,30.8,19.2,89.2,62,0,1.5,9.2,24.4
1996,10,157,31.1,19.1,92,64,0,1.5,9.4,22.9
1996,11,523,32.3,19.4,91,62,0,1.4,9.7,23.8
1996,12,1097,32.1,19.4,92,65,0,1.6,7.5,25.7
1996,13,571,32.7,21.9,92,60,0,1.9,7.3,28.4
1996,14,834,31.8,21.6,91.6,58,0,2.1,8.2,30.7
1996,15,5095,33.4,21.9,88.3,55,0,2.3,8.5,32.8
1996,16,13270,33,21.4,88.6,56,0,2.7,5.5,34.1
1996,17,13210,34.1,22.9,88.3,58,0,2.7,8.8,35.2
1996,18,14530,34.8,24.1,84,60,0,2.9,9.4,33.2
1996,19,3430,29.4,23.6,88.6,55,15.6,3,6.1,33.3
1996,20,173,39,25,88.6,54,0,4.2,9.5,39.8
1996,21,347,36.8,24.3,91,59,1.6,4.1,7.7,46.4
1996,22,98,37.2,26.6,85.7,55,0,3,6.9,41.7
1996,23,20,36.4,26.1,84.4,57,0,3.6,6.8,42.3
1996,24,108,35.6,25.3,84.1,63,45,5.1,6.3,33.7
1996,25,89,32.4,23.8,86.1,67,80,6.4,6.2,37
1996,26,188,31,24.9,84.7,69,223,5.6,4.1,38.8
1996,27,255,33.6,24.9,73.8,72,5.6,6,7.7,35.3
1996,28,309,33.9,24.7,84,72,29.4,5.9,5.9,29.5
1996,29,299,31.6,23.9,86.3,73,65.8,5.4,6.9,27.5
1996,30,651,29.9,22.6,92.9,78,130.6,6.7,3.2,28.6
1996,31,1267,31.1,23.8,86.8,76,47,5.6,4.9,28
1996,32,1659,31.1,24.3,91.9,76,8.2,5.9,3.8,24.1
1996,33,8688,30.1,23.3,93.4,73,71.2,5.1,3.4,28.2
1996,34,9123,30.8,23.1,93.4,78,64.8,5.3,5.2,23
1996,35,32972,30.2,23.4,92,76,42.6,4.2,5.3,24.9
1996,36,41670,30.1,22.4,92.5,75,41.6,3,5.4,25.6
1996,37,37113,30.5,23.1,93.9,75,16.6,2.9,3.2,24.7
1996,38,26110,31.6,22.6,92.5,76,109.4,2.1,7.1,23.9
1996,39,10759,31.4,23.6,93,75,36.8,1.6,5.2,23.2
1996,40,10460,30.9,22.9,94.3,76,146,2,5.4,21.1
1996,41,26650,29.9,23.4,92.9,72,105.8,1.6,3.6,18.8
1996,42,3886,29.4,22.1,92.5,74,8.2,1.8,3.8,19.5
1996,43,917,27.4,22.1,93.1,74,238.2,2,5.1,20
1996,44,456,30.2,21.8,92,76,41.4,1.7,7.5,16.7
1996,45,0,28.6,21.6,91,70,40.5,2.3,7.1,17.3
1996,46,0,27.5,22.6,85.1,64,40.1,1.7,6.8,20.4
1996,47,0,26.4,21.7,84.6,64,39.2,1.7,4.5,20.8
1996,48,0,27.2,17.5,88.1,65,38.2,2.1,1.9,19.7
1996,49,0,27.1,18.1,88.4,67,16,1.8,1.7,19.7
1996,50,0,27.4,17.9,86.1,65,0,1.9,6.1,18.3
1996,51,0,28.2,18.1,89.1,67,0,2.1,13.9,17.3
1996,52,0,27.5,16.3,91.2,70,0,2.5,7.7,20.7
1997,1,3,26.5,15.7,90.3,69,0,2.6,7.7,19.1
1997,2,5,25.8,18.6,90.3,69,10.4,2.6,4.4,19.9
1997,3,11,27.6,18.3,94.7,68,26,1.9,6.8,18.4
1997,4,7,27.4,17.3,89.7,70,0,2,9,17.1
