"Observation
Year","Standard
Week","Pest
Value",MaxT(°C),MinT(°C),RH1(%),RH2(%),RF(mm),WS(kmph),SSH(hrs),EVP(mm)
1995,1,16,29.9,17.1,92.6,69,0,2.9,4.8,19.1
1995,2,5,26.3,19.6,94,69,8.2,3,3.3,19.9
1995,3,19,25.4,17.1,90.7,68,10.2,4.2,6.4,18.4
1995,4,6,27.5,17,93.7,70,0,4.1,7.4,17.1
1995,5,64,27.3,16.5,90.6,68,0,3,6.8,20
1995,6,47,27.6,17.6,89.6,67,0,3.6,8.7,20.6
1995,7,38,29.9,18,93.8,64,0,5.1,8.7,21.1
1995,8,30,30.2,19.8,93.1,62,0,6.4,9,22.2
1995,9,58,30.3,19.1,92.7,62,0,5.6,9.3,24.4
1995,10,144,31.6,20.2,94.9,64,0,6,8.5,22.9
1995,11,372,31.6,20.5,89.5,62,0,5.9,9.2,23.8
1995,12,960,34.1,20.8,87.7,65,0,5.4,8.6,25.7
1995,13,530,33.4,20.5,88.9,60,0,6.7,8.6,28.4
1995,14,540,33.1,20.1,87.2,58,0,5.6,8.5,30.7
1995,15,340,33.2,20.9,87.1,55,0,5.9,9.7,32.8
1995,16,160,34.6,21.5,86.5,56,0,5.1,9.4,34.1
1995,17,0,35,22.5,83.9,58,0,5.3,8.7,35.2
1995,18,0,35.4,22.7,85.5,60,0,4.2,9.6,33.2
1995,19,150,34.8,23.4,88.4,55,16,3,9.9,33.3
1995,20,79,28.4,22.9,9.3,54,332,2.9,0.7,39.8
1995,21,2,34.3,25.6,85.9,59,0,2.1,7.7,46.4
1995,22,0,35.3,25.2,96.9,55,0,1.6,7.5,41.7
1995,23,5,36.2,27.1,88,57,0,2,2.9,42.3
1995,24,0,38,26.9,81,63,0,1.6,5.1,33.7
1995,25,48,33.6,24.7,88.7,67,24,1.8,4.6,37
1995,26,18,31.2,24.6,88,69,48,2,2,38.8
1995,27,13,34.1,26.1,86.3,72,5,1.7,5.6,35.3
1995,28,0,31.1,23.3,89.6,72,54,2.3,3.2,29.5
1995,29,17,28.6,22.1,92.9,73,155,1.7,0,27.5
1995,30,319,30.8,23.7,92,78,53,1.7,5,28.6
1995,31,33,32.6,24.9,88.7,76,40,2.1,4.5,28
1995,32,72,31.5,24.5,91.2,76,39,1.8,4,24.1
1995,33,21,32.8,24,88.1,73,37,1.9,6.6,28.2
1995,34,201,30.1,23.8,92.3,78,68,2.1,2.8,23
1995,35,293,30.5,24.2,89.2,76,56,2.5,2.7,24.9
1995,36,913,30.2,24.1,88.9,75,17,3,6.5,25.6
1995,37,885,31.2,23.8,90.6,75,33,2.9,5.4,24.7
1995,38,486,30.3,22.9,93.3,76,100,2.1,4.2,23.9
1995,39,3757,31.4,23.8,91.3,75,14,1.6,3.2,23.2
1995,40,1570,31.2,23.1,92.6,76,51,2,3.5,21.1
1995,41,1250,28.6,22.3,92.6,72,227,1.6,2.6,18.8
1995,42,3960,39.1,22.2,90.9,74,93,1.8,4.5,19.5
1995,43,6438,30.6,20.7,89.9,74,5,2,6.9,20
1995,44,95,30.4,20.5,88.7,76,4.6,1.7,6.8,16.7
1995,45,0,31.1,20.7,90.7,70,4,2.3,7.7,17.3
1995,46,0,31.3,20.4,91.5,64,1,1.7,6.9,20.4
1995,47,0,29.9,20.3,87.4,64,0,1.7,4.3,20.8
1995,48,0,29.8,19.1,89.4,65,0,2.1,6.6,19.7
1995,49,238,29.5,18.7,92,67,0,1.8,5.4,19.7
1995,50,39,27.8,17.2,91.6,65,0,1.9,5.9,18.3
1995,51,1,28.6,18.4,92,67,0,2.1,6.1,17.3
1995,52,19,27.6,18.4,89.7,70,0,2.5,5.4,20.7
1996,1,,28.2,30.2,94.9,81.9,0,3.7,4.7,3.4
1996,2,,28.4,19.3,96,84.3,0,3.7,7.7,3.1
1996,3,,28.9,20,93.1,89.7,0,2.7,8,3.1
1996,4,,28.2,19.8,93.1,88.4,0,2.9,4.2,2.9
1996,5,,29.6,20.1,94.3,85.7,4,2.5,8.5,3.6
1996,6,,29.1,19.1,93.1,87,1.2,2.5,8,3.6
1996,7,,29.7,18.2,92.6,83,0,2.7,9.3,3.9
1996,8,,30.6,21.5,88.7,86.3,0,2.5,9.2,4.1
1996,9,,30.8,21.3,91.7,86.4,0,2.2,9.3,4.5
1996,10,,31.7,21.6,91.9,88.9,0,2.2,8.5,4.4
1996,11,,32.1,21,92.1,86.3,0,2.1,9.6,5.2
1996,12,,33,21.2,87,84.1,0,2.4,9.1,5.6
1996,13,,33.1,22.1,90,84.3,0,2.7,7.9,5.6
1996,14,,33.4,22.1,84.6,81.9,0,3.4,9.5,5.9
1996,15,,32.5,21.4,88.1,60.1,0,3.7,9.7,6
1996,16,,33.5,22.4,86.7,61.4,0,4.2,9.2,6.2
1996,17,,33.4,22.8,88,69.4,0,4.4,7.7,6.1
1996,18,,34.4,23.9,86.3,62.6,0,4.8,10,6.7
1996,19,,34.5,23.2,86.1,67.6,0,4.8,9.7,6.4
1996,20,,36.1,24,84.4,53.3,0,6.8,9.5,6.9
1996,21,,40.3,25.7,84.6,65.4,0,6.9,7.5,8
